Super_Scaffold_1,A1,yes
Super_Scaffold_5,A2,yes
Super_Scaffold_9,A3,yes
scaffold_2_arrow_ctg1,B1,yes
Super_Scaffold_3,B2,yes
Super_Scaffold_2,B3,yes
Super_Scaffold_13,B4,yes
Super_Scaffold_4,C1,yes
Super_Scaffold_12,C2,yes
Super_Scaffold_14,D1,yes
scaffold_11_arrow_ctg1,D2,yes
Super_Scaffold_6,D3,yes
Super_Scaffold_8,D4,yes
scaffold_18_arrow_ctg1,E1,yes
Super_Scaffold_11,E2,yes
scaffold_21_arrow_ctg1,E3,yes
scaffold_17_arrow_ctg1,F1,yes
Super_Scaffold_7,F2,yes
Super_Scaffold_10,X,yes
Super_Scaffold_15,Y,yes
scaffold_62_arrow_ctg1,Y,no
scaffold_84_arrow_ctg1,Y,no
scaffold_89_arrow_ctg1,Y,no
scaffold_70_arrow_ctg1,Y,no